"TiempoKey","Fecha","Año","Mes","Dia","NombreMes","Trimestre"
"444","18/03/2025 00:00:00","2025","3","18","March","1"
"445","19/03/2025 00:00:00","2025","3","19","March","1"
"446","20/03/2025 00:00:00","2025","3","20","March","1"
"447","21/03/2025 00:00:00","2025","3","21","March","1"
"448","22/03/2025 00:00:00","2025","3","22","March","1"
"449","23/03/2025 00:00:00","2025","3","23","March","1"
"450","24/03/2025 00:00:00","2025","3","24","March","1"
"451","25/03/2025 00:00:00","2025","3","25","March","1"
"452","26/03/2025 00:00:00","2025","3","26","March","1"
"453","27/03/2025 00:00:00","2025","3","27","March","1"
"454","28/03/2025 00:00:00","2025","3","28","March","1"
"455","29/03/2025 00:00:00","2025","3","29","March","1"
"456","30/03/2025 00:00:00","2025","3","30","March","1"
"457","31/03/2025 00:00:00","2025","3","31","March","1"
"458","1/04/2025 00:00:00","2025","4","1","April","2"
"459","2/04/2025 00:00:00","2025","4","2","April","2"
"460","3/04/2025 00:00:00","2025","4","3","April","2"
"461","4/04/2025 00:00:00","2025","4","4","April","2"
"462","5/04/2025 00:00:00","2025","4","5","April","2"
"463","6/04/2025 00:00:00","2025","4","6","April","2"
"464","7/04/2025 00:00:00","2025","4","7","April","2"
"465","8/04/2025 00:00:00","2025","4","8","April","2"
"466","9/04/2025 00:00:00","2025","4","9","April","2"
"467","10/04/2025 00:00:00","2025","4","10","April","2"
"468","11/04/2025 00:00:00","2025","4","11","April","2"
"469","12/04/2025 00:00:00","2025","4","12","April","2"
"470","13/04/2025 00:00:00","2025","4","13","April","2"
"471","14/04/2025 00:00:00","2025","4","14","April","2"
"472","15/04/2025 00:00:00","2025","4","15","April","2"
"473","16/04/2025 00:00:00","2025","4","16","April","2"
"474","17/04/2025 00:00:00","2025","4","17","April","2"
"475","18/04/2025 00:00:00","2025","4","18","April","2"
"476","19/04/2025 00:00:00","2025","4","19","April","2"
"477","20/04/2025 00:00:00","2025","4","20","April","2"
"478","21/04/2025 00:00:00","2025","4","21","April","2"
"479","22/04/2025 00:00:00","2025","4","22","April","2"
"480","23/04/2025 00:00:00","2025","4","23","April","2"
"481","24/04/2025 00:00:00","2025","4","24","April","2"
"482","25/04/2025 00:00:00","2025","4","25","April","2"
"483","26/04/2025 00:00:00","2025","4","26","April","2"
"484","27/04/2025 00:00:00","2025","4","27","April","2"
"485","28/04/2025 00:00:00","2025","4","28","April","2"
"486","29/04/2025 00:00:00","2025","4","29","April","2"
"487","30/04/2025 00:00:00","2025","4","30","April","2"
"488","1/05/2025 00:00:00","2025","5","1","May","2"
"489","2/05/2025 00:00:00","2025","5","2","May","2"
"490","3/05/2025 00:00:00","2025","5","3","May","2"
"491","4/05/2025 00:00:00","2025","5","4","May","2"
"492","5/05/2025 00:00:00","2025","5","5","May","2"
"493","6/05/2025 00:00:00","2025","5","6","May","2"
